id,name,description
mgmt_requirement_1,QMS etablieren,"Die Organisation muss ein Qualitätsmanagementsystem aufbauen, dokumentieren und verwirklichen."
mgmt_requirement_2,QMS aufrechterhalten,Die Organisation muss ein Qualitätsmanagementsystem aufrechterhalten. 
mgmt_requirement_3,QMS ständig verbessern,Die Organisation muss die Wirksamkeit des Qualitätsmanagementsystems ständig verbessern.
mgmt_requirement_4,Im Kundenanforderungen berücksichtigen,Das Qualitätsmanagementsystem muss Kundenanforderungen ansprechen.
mgmt_requirement_5,Im QMS Gesetze berücksichtigen,Das Qualitätsmanagementsystem muss anwendbare gesetzliche Anforderungen ansprechen.
mgmt_requirement_6,Im QMS Behördenvorgaben berücksichtigen,Das Qualitätsmanagementsystem muss anwendbare behördliche Anforderungen ansprechen.
mgmt_requirement_7,7,Die Organisation muss die für das Qualitätsmanagementsystem erforderlichen Prozesse und ihre Anwendung in der gesamten Organisation festlegen (siehe EN 9100 Absatz 1.2).
mgmt_requirement_8,8,"Das Qualitätsmanagementsystem von RTW muss, abhängig von den Tätigkeiten, die Anforderungen von EN/AS/JISQ 9100/9110/9120 erfüllen."
mgmt_requirement_9,9,Die Organisation muss die Entwicklung des Produkts planen.
mgmt_requirement_10,10,Die Organisation muss die Entwicklung des Produkts lenken.
mgmt_requirement_11,11,Bei der Entwicklungsplanung muss die Organisation die Entwicklungsphasen festlegen.
mgmt_requirement_12,12,Bei der Entwicklungsplanung muss die Organisation für jede Entwicklungsphase die angemessene Bewertung festlegen.
mgmt_requirement_13,13,Bei der Entwicklungsplanung muss die Organisation für jede Entwicklungsphase die angemessene Verifizierung festlegen.
mgmt_requirement_14,14,Bei der Entwicklungsplanung muss die Organisation für jede Entwicklungsphase die angemessene Validierung festlegen.
mgmt_requirement_15,15,Bei der Entwicklungsplanung muss die Organisation die Verantwortungen und Befugnisse für die Entwicklung festlegen.
mgmt_requirement_16,16,"Soweit angemessen, muss die Organisation die Entwicklungsleistung in verschiedene Tätigkeiten unterteilen und für jede Tätigkeit die Aufgaben, die notwendigen Ressourcen, Verantwortlichkeiten, den Entwicklungsinhalt, die Eingangs- und Ausgangsdaten sowie Randbedingungen für die Planung definieren."
mgmt_requirement_17,17,Die auszuführenden unterschiedlichen Entwicklungsaufgaben müssen auf den Sicherheits- und Funktionszielen des Produkts in Übereinstimmung mit den Kundenanforderungen und den gesetzlichen sowie behördlichen Anforderungen beruhen.
mgmt_requirement_18,18,"Die Entwicklungsplanung muss die Fähigkeit zur Herstellung, Untersuchung, Prüfung und Instandhaltung des Produkts einbeziehen."
mgmt_requirement_19,19,"Die Organisation muss die Schnittstellen zwischen den verschiedenen an der Entwicklung beteiligten Gruppen leiten und lenken, um eine wirksame Kommunikation und eine klare Zuordnung der Verantwortung sicherzustellen."
mgmt_requirement_20,20,"Das Ergebnis der Planung muss, soweit angemessen, mit dem Fortschreiten der Entwicklung aktualisiert werden."
mgmt_requirement_21,21,Eingaben in Bezug auf die Produktanforderungen müssen ermittelt und  aufgezeichnet werden (siehe EN 9100 4.2.4).
mgmt_requirement_22,22,Die Eingaben in Bezug auf die Produktanforderungen müssen Funktions- und Leistungsanforderungen enthalten.
mgmt_requirement_23,23,Die Eingaben in Bezug auf die Produktanforderungen müssen zutreffende gesetzliche und behördliche Anforderungen enthalten.
mgmt_requirement_24,24,"Die Eingaben in Bezug auf die Produktanforderungen müssen (wo zutreffend) Informationen, die aus früheren ähnlichen Entwicklungen abgeleitet wurden enthalten."
mgmt_requirement_25,25,Die Eingaben in Bezug auf die Produktanforderungen müssen alle für die Entwicklung wesentlichen Anforderungen enthalten.
mgmt_requirement_26,26,Die Eingaben in Bezug auf die Produktanforderungen müssen auf Angemessenheit bewertet werden.
mgmt_requirement_27,27,Anforderungen müssen vollständig und eindeutig sein und dürfen einander nicht widersprechen.
mgmt_requirement_28,28,"Die Entwicklungsergebnisse müssen eine Form haben, die für die Verifizierung gegenüber den Entwicklungseingaben geeignet ist."
mgmt_requirement_29,29,Die Entwicklungsergebnisse vor der Freigabe genehmigt werden.
mgmt_requirement_30,30,Entwicklungsergebnisse müssen die Entwicklungsvorgaben erfüllen.
mgmt_requirement_31,31,"Entwicklungsergebnisse müssen angemessene Informationen für die  Beschaffung, Produktion und Dienstleistungserbringung bereitstellen."
mgmt_requirement_32,32,Entwicklungsergebnisse müssen Annahmekriterien für das Produkt enthalten oder darauf verweisen.
mgmt_requirement_33,33,"Entwicklungsergebnisse müssen die Merkmale des Produktes festlegen, die für einen sicheren und bestimmungsgemässen Gebrauch wesentlich sind."
